CustomerID,Product,Date
1078,Apples (1kg),2022-12-30
1226,Laundry Detergent (2L bottle),2022-12-30
1490,Apples (1kg),2022-12-30
1057,Laundry Detergent (2L bottle),2022-12-31
1221,Toilet Paper (12-roll pack),2022-12-31
1355,Olive Oil (1L bottle),2022-12-31
1361,Parmesan Cheese (grated),2022-12-31
1379,Mineral Water (6-pack),2022-12-31
1385,Cereal (cornflakes box),2022-12-31
1438,Orange Juice (1L carton),2022-12-31
1443,Pasta (500g pack),2022-12-31
1008,Tomatoes (1kg),2023-01-01
1008,Olive Oil (1L bottle),2023-01-01
1008,Cereal (cornflakes box),2023-01-01
1008,Chicken Breast (500g),2023-01-01
1008,Lettuce (1 head),2023-01-01
1013,Apples (1kg),2023-01-01
1013,Bananas (1kg),2023-01-01
1017,Toilet Paper (12-roll pack),2023-01-01
1017,Cereal (cornflakes box),2023-01-01
1019,Bananas (1kg),2023-01-01
1019,Laundry Detergent (2L bottle),2023-01-01
1019,Orange Juice (1L carton),2023-01-01
1027,Yogurt (4-pack),2023-01-01
1027,Milk (1L bottle),2023-01-01
1027,Bananas (1kg),2023-01-01
1030,Milk (1L bottle),2023-01-01
1030,Yogurt (4-pack),2023-01-01
1032,Chicken Breast (500g),2023-01-01
1032,Milk (1L bottle),2023-01-01
1032,Pasta (500g pack),2023-01-01
1035,Olive Oil (1L bottle),2023-01-01
1035,Tomato Sauce (jar),2023-01-01
1035,Pasta (500g pack),2023-01-01
1043,Apples (1kg),2023-01-01
1049,Toilet Paper (12-roll pack),2023-01-01
1049,Lettuce (1 head),2023-01-01
1049,Laundry Detergent (2L bottle),2023-01-01
1051,Toilet Paper (12-roll pack),2023-01-01
1051,Laundry Detergent (2L bottle),2023-01-01
1051,Tomatoes (1kg),2023-01-01
1068,"Coffee (ground, 250g pack)",2023-01-01
1068,Green Tea (box of tea bags),2023-01-01
1068,Red Wine (bottle),2023-01-01
1075,Toilet Paper (12-roll pack),2023-01-01
1075,Mineral Water (6-pack),2023-01-01
1075,Orange Juice (1L carton),2023-01-01
1075,Laundry Detergent (2L bottle),2023-01-01
1078,Green Tea (box of tea bags),2023-01-01
1078,Pasta (500g pack),2023-01-01
1078,Apples (1kg),2023-01-01
1078,"Coffee (ground, 250g pack)",2023-01-01
1078,Tomatoes (1kg),2023-01-01
1078,Laundry Detergent (2L bottle),2023-01-01
1078,Yogurt (4-pack),2023-01-01
1084,Toilet Paper (12-roll pack),2023-01-01
1084,Olive Oil (1L bottle),2023-01-01
1084,Laundry Detergent (2L bottle),2023-01-01
1084,Toilet Paper (12-roll pack),2023-01-01
1087,Toilet Paper (12-roll pack),2023-01-01
1087,Laundry Detergent (2L bottle),2023-01-01
1096,Chicken Breast (500g),2023-01-01
1096,Toilet Paper (12-roll pack),2023-01-01
1096,Red Wine (bottle),2023-01-01
1096,Red Wine (bottle),2023-01-01
1112,Toilet Paper (12-roll pack),2023-01-01
1112,Tomatoes (1kg),2023-01-01
1116,"Coffee (ground, 250g pack)",2023-01-01
1116,Cereal (cornflakes box),2023-01-01
1116,Milk (1L bottle),2023-01-01
1122,Bananas (1kg),2023-01-01
1122,Yogurt (4-pack),2023-01-01
1122,Orange Juice (1L carton),2023-01-01
1134,Milk (1L bottle),2023-01-01
1134,"Coffee (ground, 250g pack)",2023-01-01
1134,Cereal (cornflakes box),2023-01-01
1151,Bananas (1kg),2023-01-01
1151,Tomatoes (1kg),2023-01-01
1151,Apples (1kg),2023-01-01
1164,Cereal (cornflakes box),2023-01-01
1164,Milk (1L bottle),2023-01-01
1164,Chicken Breast (500g),2023-01-01
1165,Toilet Paper (12-roll pack),2023-01-01
1166,Toilet Paper (12-roll pack),2023-01-01
1166,Laundry Detergent (2L bottle),2023-01-01
1166,"Coffee (ground, 250g pack)",2023-01-01
1168,"Coffee (ground, 250g pack)",2023-01-01
1168,Milk (1L bottle),2023-01-01
1168,Green Tea (box of tea bags),2023-01-01
1168,Apples (1kg),2023-01-01
1170,Toilet Paper (12-roll pack),2023-01-01
1170,Laundry Detergent (2L bottle),2023-01-01
1186,Toilet Paper (12-roll pack),2023-01-01
1186,Laundry Detergent (2L bottle),2023-01-01
1186,Tomato Sauce (jar),2023-01-01
1192,Parmesan Cheese (grated),2023-01-01
1192,Pasta (500g pack),2023-01-01
